hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_month_num,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,latitude,longitude
City Hotel,0,331,2022,November,6,25,25,1,5,4,0,1,BB,GBR,Online TA,Corporate,0,2,1,C,G,2,Refundable,1,5,2,Contract,352.5297961064916,1,2,Check-Out,2023-01-17,31.13103256524281,121.43143833156789
Resort Hotel,0,42,2022,June,9,21,9,2,5,1,1,1,BB,GBR,Direct,Direct,0,1,2,B,D,3,No Deposit,15,,21,Transient,479.0694708754513,1,0,Check-Out,2023-11-30,31.127987988214347,121.42675921038291
City Hotel,0,173,2023,August,11,19,14,3,0,3,3,1,SC,CHN,Groups,Corporate,1,1,0,A,E,4,No Deposit,12,,8,Transient-Party,246.6579281536608,0,0,Check-Out,2022-08-18,31.155164621183694,121.5651720999179
City Hotel,1,34,2022,December,2,2,2,2,10,2,2,1,SC,USA,Groups,Direct,0,2,1,C,F,2,No Deposit,10,,27,Transient,271.91078360630127,1,4,Canceled,2023-03-14,31.226709133012406,121.44234553614255
City Hotel,0,172,2023,May,4,4,12,3,2,4,1,1,FB,CHN,Corporate,Direct,0,1,4,E,B,3,No Deposit,14,,17,Transient,384.20370922653325,0,3,Check-Out,2022-08-21,31.20317242674979,121.4279700148702
City Hotel,0,250,2022,May,8,40,8,2,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,2,H,A,0,No Deposit,15,,21,Transient,82.1250942521676,2,4,Check-Out,2023-02-07,31.294533009587035,121.50893224997118
Resort Hotel,0,195,2023,March,11,14,13,2,14,2,2,0,HB,DEU,Direct,Corporate,0,1,4,A,G,4,No Deposit,8,,2,Transient,116.34351693162218,0,0,No-Show,2022-03-24,31.216545802857418,121.57289852977581
Resort Hotel,0,61,2023,February,2,17,17,3,1,2,1,1,FB,USA,Offline TA,Direct,0,0,2,A,B,4,No Deposit,13,,6,Transient,272.3005780470784,1,0,No-Show,2023-08-28,31.269089032667253,121.43062404875366
Resort Hotel,0,278,2023,March,5,5,24,1,14,2,3,0,SC,GBR,Corporate,Direct,0,2,2,A,G,0,No Deposit,1,,3,Transient-Party,436.0799283541824,0,0,Check-Out,2022-12-11,31.261379115361173,121.57609349435076
City Hotel,0,105,2023,September,10,47,16,3,0,3,0,0,HB,PRT,Online TA,Corporate,0,2,0,H,G,2,Non Refund,5,,27,Contract,343.42371253898114,0,0,Check-Out,2022-04-26,31.161692178877782,121.41775151437514
City Hotel,0,336,2022,February,11,48,28,1,11,3,0,0,HB,USA,Groups,TA/TO,0,2,3,H,C,4,No Deposit,,,11,Transient-Party,262.80670506517475,2,0,Check-Out,2022-06-04,31.20708807350876,121.46648005235494
City Hotel,0,273,2022,April,1,30,22,3,4,3,3,0,HB,ESP,Direct,Direct,0,1,1,F,B,2,No Deposit,10,,21,Transient,380.5410243596468,1,0,Check-Out,2023-03-24,31.183684739420087,121.548618205695
Resort Hotel,0,181,2023,March,6,29,7,0,1,4,3,1,SC,ESP,Groups,TA/TO,0,1,2,G,A,2,No Deposit,1,,18,Transient,253.13910737463706,2,4,Check-Out,2022-07-05,31.25714434281318,121.55832614670759
Resort Hotel,0,17,2022,May,6,22,27,0,14,4,0,0,FB,ITA,Groups,Corporate,0,0,0,B,C,3,No Deposit,12,,23,Transient,82.0191294476829,1,0,Check-Out,2022-05-31,31.246559973645706,121.5846342817004
Resort Hotel,0,187,2023,September,11,35,7,3,8,3,2,1,BB,PRT,Online TA,Direct,0,2,1,D,D,0,No Deposit,10,,27,Contract,325.87441723657116,0,2,Check-Out,2023-10-21,31.254605201706664,121.59442711511645
City Hotel,0,121,2023,January,10,45,1,0,5,1,1,0,HB,CHN,Online TA,Direct,0,0,2,D,A,0,Refundable,17,,12,Transient,73.44272264770932,1,4,No-Show,2022-11-11,31.21271413682219,121.47152198696948
City Hotel,0,95,2022,August,3,17,1,1,13,2,1,1,HB,CHN,Offline TA,TA/TO,0,0,2,G,G,2,No Deposit,20,8,24,Transient,313.09843593040927,1,2,Check-Out,2023-09-22,31.153126094269837,121.56823751913264
City Hotel,1,271,2023,January,10,6,2,2,5,4,3,0,BB,GBR,Groups,Direct,0,1,3,G,D,2,Refundable,3,,11,Transient,242.97947822783755,2,2,Canceled,2022-01-20,31.127460974197497,121.56182825399817
City Hotel,1,214,2022,September,4,25,1,0,3,3,0,0,FB,GBR,Online TA,Corporate,0,2,4,F,F,1,Non Refund,13,,18,Transient,131.12997598420088,0,0,Canceled,2022-12-08,31.172508931318696,121.55085585289491
Resort Hotel,0,132,2023,September,11,15,26,0,7,4,2,1,HB,PRT,Offline TA,Direct,0,1,3,H,D,4,No Deposit,3,,29,Group,184.61743779184235,2,0,Check-Out,2022-08-24,31.187137850376157,121.47139699288793
City Hotel,1,125,2023,May,5,36,13,3,12,4,3,1,FB,DEU,Direct,Corporate,0,2,1,A,H,0,No Deposit,13,,21,Transient,132.04021938137606,2,2,Canceled,2022-07-21,31.162894204213856,121.52644731127619
Resort Hotel,0,314,2023,January,10,10,22,1,5,1,1,1,BB,FRA,Corporate,TA/TO,0,2,4,B,E,2,No Deposit,16,,13,Transient-Party,471.22966105899224,0,2,Check-Out,2023-03-07,31.101995810694866,121.56606544850224
City Hotel,0,75,2022,March,12,18,6,0,9,1,2,1,FB,PRT,Offline TA,Direct,0,0,3,G,H,0,No Deposit,,,26,Transient,310.5454354465275,0,4,Check-Out,2023-08-30,31.20791975295045,121.50954343611718
Resort Hotel,1,97,2022,March,8,17,29,1,7,3,3,0,HB,DEU,Direct,TA/TO,0,2,2,F,C,4,No Deposit,19,,16,Transient,164.49147678034336,2,1,Canceled,2023-01-18,31.296526399197482,121.49135007461221
City Hotel,1,197,2023,December,1,12,22,2,1,2,1,0,SC,FRA,Offline TA,TA/TO,0,1,3,B,H,3,No Deposit,13,,29,Transient,188.6250965895216,2,3,Canceled,2022-07-09,31.299530254051604,121.50190568500365
City Hotel,1,335,2022,December,11,43,26,3,14,1,1,0,FB,FRA,Corporate,TA/TO,0,2,2,B,A,4,Refundable,16,,1,Transient,437.0087955519981,0,3,Canceled,2022-01-21,31.287073681276993,121.5193588474482
City Hotel,1,352,2022,August,3,43,11,3,7,2,1,1,FB,DEU,Online TA,Corporate,0,0,1,H,A,3,No Deposit,4,9,19,Transient,284.31632076344295,1,0,Canceled,2022-12-04,31.198246365417777,121.45173515701873
Resort Hotel,0,256,2023,June,4,26,6,0,1,2,2,1,HB,ITA,Offline TA,TA/TO,0,1,0,G,H,4,No Deposit,7,5,19,Transient,201.71076659358755,1,4,Check-Out,2022-05-30,31.193281472848597,121.4045637517953
Resort Hotel,0,328,2022,December,10,30,3,2,7,2,2,1,BB,USA,Offline TA,Direct,0,2,2,A,B,0,No Deposit,15,,22,Transient-Party,351.1786188745498,1,0,Check-Out,2023-11-25,31.221898514421554,121.54069697134108
City Hotel,0,151,2022,March,3,10,29,0,10,2,1,1,SC,PRT,Corporate,Corporate,0,1,0,G,E,2,No Deposit,15,,12,Transient,57.99354526445834,0,2,Check-Out,2023-08-02,31.226334188302012,121.40086775444462
City Hotel,0,141,2023,October,10,26,1,2,8,3,3,0,SC,USA,Groups,TA/TO,0,2,4,C,E,3,No Deposit,6,,0,Transient,498.52311090777636,2,0,No-Show,2023-05-15,31.142039785935097,121.44632955284169
Resort Hotel,0,320,2022,January,5,30,18,2,6,4,0,0,FB,GBR,Offline TA,TA/TO,0,2,3,D,F,4,No Deposit,3,,20,Transient,355.9796995469785,2,4,Check-Out,2023-09-07,31.222641525812687,121.46067622844961
Resort Hotel,0,16,2022,August,5,3,23,1,14,2,0,1,HB,ITA,Online TA,Direct,1,2,3,E,E,0,No Deposit,1,,12,Transient-Party,228.5092146506997,2,1,Check-Out,2023-10-08,31.200671770618836,121.45865415502232
City Hotel,0,215,2022,June,2,14,2,4,6,1,1,1,SC,DEU,Online TA,Corporate,0,2,0,A,B,4,No Deposit,6,,0,Transient,117.74102542930001,1,0,Check-Out,2023-09-08,31.278726707372357,121.52217937962233
Resort Hotel,0,290,2023,April,9,6,4,3,7,2,0,0,HB,PRT,Direct,TA/TO,0,0,3,C,D,1,No Deposit,7,,25,Contract,129.69689418245855,2,3,Check-Out,2022-11-09,31.150841794565075,121.55275810992458
City Hotel,1,342,2022,March,9,2,17,1,8,3,1,0,HB,ITA,Corporate,Corporate,0,0,0,F,H,4,No Deposit,12,,16,Transient,115.3396776624514,0,3,Canceled,2022-03-11,31.119174274574434,121.45936145057026
City Hotel,1,85,2022,July,6,30,14,0,1,3,3,1,FB,DEU,Online TA,TA/TO,0,0,4,G,E,4,Non Refund,6,,15,Transient-Party,63.365870448213236,2,3,Canceled,2023-09-01,31.234158171745015,121.52202340507759
City Hotel,0,60,2022,April,7,20,14,1,14,2,3,1,BB,FRA,Direct,Direct,0,1,4,A,F,4,No Deposit,4,,8,Transient-Party,294.21113197603285,2,2,Check-Out,2022-05-24,31.269128670479354,121.55219791981199
City Hotel,0,36,2022,June,12,15,5,4,6,4,3,0,HB,CHN,Groups,TA/TO,0,2,2,G,F,0,No Deposit,12,,3,Transient,88.49207001114355,1,2,Check-Out,2022-07-29,31.132495954164117,121.50553295729202
Resort Hotel,0,228,2022,August,11,36,20,2,5,1,0,0,HB,CHN,Direct,TA/TO,1,2,1,F,B,0,No Deposit,4,,6,Transient,84.65767308993597,0,0,Check-Out,2022-06-29,31.269868543759895,121.55110849909916
Resort Hotel,0,332,2023,August,4,17,15,4,0,4,0,0,HB,FRA,Direct,TA/TO,0,0,4,A,D,4,Refundable,2,,6,Transient,278.3833167775347,1,2,Check-Out,2022-11-20,31.248689238052318,121.5724731383766
Resort Hotel,1,1,2023,December,11,22,15,1,12,2,1,0,FB,ESP,Corporate,TA/TO,0,1,3,E,E,0,No Deposit,9,,12,Transient,177.9455328231365,1,2,Canceled,2023-06-04,31.167651812220267,121.4195430160534
City Hotel,0,99,2022,August,3,33,25,0,8,2,1,1,FB,FRA,Corporate,Corporate,1,1,1,C,E,4,No Deposit,5,4,24,Transient-Party,208.94258708464758,2,0,Check-Out,2022-12-25,31.154575906130674,121.53270181423957
City Hotel,0,6,2022,January,9,2,10,0,14,3,3,1,BB,CHN,Groups,Corporate,1,0,2,G,F,2,Refundable,14,,14,Transient,367.9583012869902,2,4,Check-Out,2023-09-04,31.22291938993196,121.58557573946838
Resort Hotel,1,327,2022,November,12,34,17,0,6,1,3,1,SC,DEU,Groups,Direct,0,0,0,B,B,2,No Deposit,19,,13,Contract,163.7725505849092,1,2,Canceled,2023-12-13,31.207515390008798,121.48553612030132
Resort Hotel,0,337,2022,June,10,19,10,3,6,1,3,0,SC,ESP,Corporate,Direct,0,2,3,D,E,2,No Deposit,2,,1,Transient,174.70502860988464,1,2,Check-Out,2023-10-02,31.139486381207455,121.59026277399245
Resort Hotel,0,152,2023,September,6,43,22,0,2,2,1,1,FB,ITA,Direct,Corporate,0,2,1,B,B,2,No Deposit,11,,20,Transient-Party,485.20548657717376,2,2,No-Show,2023-02-07,31.238256953557364,121.49973803954404
City Hotel,0,245,2022,May,9,44,1,4,14,3,3,0,SC,ESP,Online TA,Corporate,0,1,2,F,D,1,Refundable,17,7,7,Transient,246.2512685418676,0,1,Check-Out,2023-01-08,31.27034946256028,121.54901227629703
City Hotel,0,318,2023,August,6,14,23,2,8,3,2,1,BB,PRT,Online TA,Corporate,0,0,4,A,H,2,Refundable,14,,13,Transient,218.31237731128618,1,2,Check-Out,2023-11-11,31.132391088582658,121.43238657139369
City Hotel,1,131,2023,October,9,8,9,4,5,1,3,0,FB,PRT,Direct,Corporate,1,1,3,E,B,1,No Deposit,1,,26,Transient,403.1778065642212,1,0,Canceled,2023-08-22,31.235143166639617,121.55444420887045
City Hotel,0,55,2022,May,8,29,14,1,13,2,1,0,HB,PRT,Online TA,Corporate,0,2,3,G,D,2,No Deposit,11,,3,Transient-Party,372.67344786923184,2,0,Check-Out,2023-11-14,31.284903639344805,121.41571971813252
Resort Hotel,1,28,2023,December,5,32,1,3,2,3,0,1,SC,CHN,Online TA,Direct,0,2,1,H,F,3,No Deposit,8,4,13,Transient,251.30173353236097,2,0,Canceled,2022-12-06,31.20444639880545,121.5358207170898
Resort Hotel,1,274,2022,August,3,28,14,4,9,3,2,0,BB,CHN,Offline TA,Direct,0,0,0,E,H,3,No Deposit,10,,17,Transient,312.19929136927414,1,0,Canceled,2023-04-22,31.123812748751256,121.57141331821079
Resort Hotel,1,361,2023,March,10,30,5,2,1,4,1,0,BB,USA,Corporate,Direct,0,1,3,F,H,1,No Deposit,15,6,20,Contract,231.20686522463825,2,1,Canceled,2023-09-30,31.10356935218206,121.50188780900413
Resort Hotel,0,248,2023,January,9,52,10,4,7,1,0,1,SC,ITA,Direct,Direct,0,2,2,D,H,4,No Deposit,7,,6,Transient,84.97468338150608,0,4,Check-Out,2023-06-30,31.127702820283506,121.51527372619185
City Hotel,0,87,2023,August,6,28,20,1,9,2,1,1,BB,FRA,Online TA,TA/TO,1,2,3,C,F,3,No Deposit,,5,13,Contract,381.5212755090841,0,0,Check-Out,2023-10-06,31.154751371887038,121.43687571986543
Resort Hotel,1,226,2022,November,7,48,9,4,0,4,1,1,BB,CHN,Direct,Direct,1,2,0,C,D,4,No Deposit,19,,11,Contract,98.44346631088447,0,0,Canceled,2022-04-07,31.13993750936321,121.40781224275197
Resort Hotel,1,364,2023,October,12,46,13,0,2,2,3,0,BB,FRA,Groups,Direct,0,0,4,G,A,1,Non Refund,12,,3,Transient,486.6492103223557,1,0,Canceled,2022-05-30,31.156191436292232,121.473177466443
Resort Hotel,0,226,2023,February,9,15,2,0,12,2,2,0,SC,CHN,Corporate,Corporate,0,1,3,E,H,1,No Deposit,6,,14,Transient-Party,283.9532832240968,0,3,No-Show,2023-04-26,31.23255355678718,121.45808558947606
City Hotel,1,158,2023,September,2,12,3,1,12,4,2,1,HB,GBR,Corporate,Corporate,0,1,4,H,F,3,No Deposit,12,,18,Transient,101.73977860279527,0,3,Canceled,2023-12-30,31.24120798351668,121.57374509990748
City Hotel,0,116,2022,August,11,25,1,4,7,4,0,1,SC,USA,Corporate,Corporate,0,0,0,D,B,2,Refundable,18,,16,Transient,52.244623094317255,1,0,Check-Out,2023-04-14,31.102433236597044,121.56857963544726
Resort Hotel,0,42,2022,December,7,37,2,4,14,2,1,0,BB,ITA,Groups,TA/TO,0,1,2,E,F,3,No Deposit,,9,15,Transient,453.4861398323454,0,0,Check-Out,2023-06-11,31.275914409225887,121.50443758134924
Resort Hotel,1,50,2022,October,6,42,19,4,12,3,1,1,BB,ITA,Offline TA,Direct,0,0,2,G,D,1,Refundable,5,8,14,Transient-Party,64.19450830560112,0,4,Canceled,2022-05-28,31.18958700173821,121.57166212405099
Resort Hotel,0,344,2022,June,9,13,4,3,3,4,1,0,SC,PRT,Groups,Direct,0,0,4,F,H,3,No Deposit,1,,28,Transient,370.3637344970414,0,2,Check-Out,2023-06-21,31.23069752114829,121.544590817758
Resort Hotel,0,181,2022,September,2,36,1,4,0,2,3,1,BB,ITA,Groups,Corporate,0,1,1,F,E,0,No Deposit,1,,3,Transient-Party,311.1553460434674,1,4,Check-Out,2022-12-06,31.131891879226888,121.583104137072
City Hotel,1,323,2023,April,1,26,3,2,5,1,2,1,FB,ESP,Offline TA,Direct,0,1,2,G,G,0,Non Refund,20,,26,Transient,426.16467181177984,1,3,Canceled,2022-08-31,31.12587260892222,121.48077016810231
City Hotel,0,12,2023,November,7,29,14,2,8,1,1,1,SC,GBR,Groups,TA/TO,0,1,2,C,C,1,No Deposit,12,,28,Transient,136.82716879981814,2,4,Check-Out,2022-07-14,31.13935818472558,121.40983209835554
Resort Hotel,0,265,2022,February,3,41,22,4,12,3,2,1,FB,PRT,Corporate,Corporate,0,1,2,E,E,4,Non Refund,7,,19,Transient,211.4131573403348,0,1,Check-Out,2023-10-29,31.212041670041437,121.5516264071661
City Hotel,0,5,2022,December,1,23,5,3,13,2,3,0,SC,GBR,Direct,TA/TO,0,1,0,H,H,4,No Deposit,7,,1,Contract,290.0285330207895,2,2,Check-Out,2022-11-26,31.28089112555436,121.43435138786758
City Hotel,0,35,2022,June,2,38,22,4,6,4,2,0,SC,FRA,Direct,Direct,0,2,3,E,C,0,No Deposit,8,,14,Transient,164.21823098772995,0,4,Check-Out,2023-07-26,31.13850845689438,121.44487524141672
Resort Hotel,1,27,2023,November,11,33,3,4,5,2,0,1,SC,CHN,Direct,TA/TO,0,2,4,E,G,0,No Deposit,13,3,16,Transient,492.3944812928107,0,3,Canceled,2022-02-05,31.26082777373329,121.42072047176751
Resort Hotel,0,113,2022,October,5,16,20,0,3,1,0,1,SC,CHN,Direct,TA/TO,0,1,1,B,A,1,No Deposit,2,,27,Contract,466.67814494648644,0,1,Check-Out,2022-01-05,31.189817874886135,121.41362786623813
City Hotel,0,219,2022,December,5,37,23,2,7,3,3,0,SC,ESP,Online TA,Direct,0,1,0,H,H,0,No Deposit,16,,15,Transient,460.0325799557463,1,3,Check-Out,2022-02-01,31.16112076473229,121.49077299325877
City Hotel,1,241,2023,February,1,32,9,4,1,3,0,0,FB,FRA,Corporate,Direct,0,2,0,B,G,1,No Deposit,2,,18,Transient,188.69686120886473,0,4,Canceled,2023-02-15,31.110563959718366,121.50937333974329
City Hotel,0,170,2022,December,5,51,17,3,14,4,0,0,BB,GBR,Groups,TA/TO,0,2,0,G,C,1,No Deposit,9,,23,Transient,352.66513149418347,2,0,Check-Out,2022-03-07,31.148245266151868,121.50016707043375
City Hotel,1,137,2022,May,11,47,20,1,12,2,0,1,BB,FRA,Online TA,TA/TO,0,1,1,G,G,4,No Deposit,2,,0,Contract,126.35188050134752,1,3,Canceled,2023-04-25,31.196361672222018,121.42496911816117
Resort Hotel,0,185,2022,May,8,6,24,3,6,2,2,1,HB,FRA,Offline TA,TA/TO,0,1,0,B,G,3,Refundable,10,,7,Transient,479.54425580798306,2,3,Check-Out,2022-04-18,31.160956604529172,121.46294334060764
City Hotel,0,276,2023,August,11,51,28,3,10,1,2,0,BB,ESP,Online TA,TA/TO,0,2,1,F,C,1,No Deposit,17,3,5,Group,335.3955452345216,0,1,Check-Out,2022-01-29,31.144649559388288,121.47723206066155
Resort Hotel,1,111,2023,July,6,38,10,4,4,1,2,0,BB,GBR,Corporate,Direct,0,0,0,A,E,3,No Deposit,10,,23,Transient,325.76079491154906,1,2,Canceled,2023-10-31,31.144270271321368,121.41850866957245
City Hotel,0,216,2023,June,5,34,16,1,4,2,2,0,BB,ITA,Direct,TA/TO,1,1,0,C,F,1,No Deposit,10,,2,Contract,477.83241707125023,1,0,Check-Out,2022-07-04,31.23878043150963,121.48413920854577
City Hotel,1,63,2022,September,11,4,22,4,3,4,3,1,BB,CHN,Online TA,Corporate,0,2,4,B,F,3,No Deposit,13,8,21,Transient,197.76069374968841,1,0,Canceled,2022-12-26,31.137985551662943,121.47197783352735
Resort Hotel,1,171,2023,October,5,5,21,1,7,3,2,0,SC,ITA,Groups,TA/TO,0,0,4,F,E,1,No Deposit,18,,26,Contract,277.77164570963475,2,1,Canceled,2023-06-14,31.29401093540531,121.57436291050583
Resort Hotel,0,73,2022,December,8,19,20,4,9,1,2,0,SC,DEU,Corporate,Corporate,0,1,4,E,H,3,Refundable,17,,4,Transient-Party,396.8812003906504,2,4,Check-Out,2022-09-01,31.177423968318724,121.59586922893666
City Hotel,0,346,2023,October,5,39,23,3,7,2,1,1,SC,PRT,Online TA,Corporate,0,2,0,E,H,4,No Deposit,4,,26,Transient,365.6916754310778,2,0,Check-Out,2022-06-20,31.233899384987495,121.53124074686632
City Hotel,0,85,2023,July,1,26,25,1,0,3,2,0,FB,GBR,Offline TA,Corporate,0,1,2,C,D,0,No Deposit,10,1,18,Group,215.76590686109856,2,2,Check-Out,2022-12-16,31.171513952709635,121.48069176533362
City Hotel,1,328,2022,June,1,2,27,0,6,2,1,0,SC,PRT,Offline TA,Corporate,0,1,3,B,D,0,No Deposit,2,,24,Transient,435.2963654856296,1,4,Canceled,2022-09-14,31.26462632459018,121.49426818268182
City Hotel,1,229,2022,March,12,4,24,3,0,1,0,0,BB,USA,Corporate,Direct,0,2,3,B,A,0,No Deposit,14,,20,Transient,159.9214443272215,1,1,Canceled,2023-06-23,31.254028253491086,121.54557479282991
City Hotel,0,337,2022,December,4,32,1,1,1,2,2,1,SC,FRA,Direct,Corporate,0,1,3,E,D,2,No Deposit,8,,0,Transient,487.9201820727454,0,2,Check-Out,2023-07-28,31.119717919612167,121.47411977137007
Resort Hotel,1,190,2023,February,7,32,3,1,10,2,0,1,SC,GBR,Offline TA,Direct,0,1,2,B,A,3,Refundable,3,,12,Transient,165.29099983999805,0,2,Canceled,2022-03-26,31.292416952793666,121.49605326361359
Resort Hotel,0,364,2022,August,10,22,16,4,8,2,1,0,SC,DEU,Direct,TA/TO,0,1,2,B,F,2,No Deposit,1,,26,Transient,336.319057519253,1,4,No-Show,2023-05-24,31.105397672509355,121.52023152639417
Resort Hotel,0,20,2023,October,8,36,12,0,2,4,0,1,BB,FRA,Corporate,Direct,0,0,3,G,E,2,No Deposit,16,,16,Transient,76.37567990709914,1,2,Check-Out,2022-08-23,31.210280800020076,121.50904510005341
City Hotel,1,296,2023,January,2,22,4,0,2,3,3,1,BB,PRT,Corporate,TA/TO,0,2,3,F,B,2,No Deposit,15,,25,Transient,158.97773200630033,2,0,Canceled,2023-12-06,31.289828324205406,121.49687947898788
Resort Hotel,0,295,2022,February,3,1,16,2,12,4,2,1,FB,DEU,Groups,TA/TO,0,2,3,G,H,4,No Deposit,19,,20,Transient,382.8043110892273,1,4,Check-Out,2023-06-09,31.187985210760704,121.52545288296153
Resort Hotel,0,332,2023,May,12,45,3,3,8,1,3,0,FB,ITA,Offline TA,Direct,0,2,2,A,F,0,No Deposit,4,3,3,Transient,246.29076324431017,2,4,Check-Out,2022-06-26,31.279969922042536,121.56532658068615
Resort Hotel,0,334,2023,February,8,23,4,3,1,3,2,1,HB,FRA,Corporate,Corporate,0,1,0,H,D,2,No Deposit,15,,7,Group,397.59605590282166,0,2,Check-Out,2022-09-21,31.25646401260923,121.5771693364863
Resort Hotel,1,71,2023,December,12,14,21,0,14,2,2,1,FB,ITA,Direct,Corporate,0,1,4,C,H,2,No Deposit,3,,10,Transient,62.19063378540788,0,4,Canceled,2023-05-30,31.200941873095406,121.42596868363574
Resort Hotel,0,271,2023,December,5,20,15,1,4,4,1,1,HB,GBR,Offline TA,Corporate,0,2,4,D,F,3,No Deposit,10,,8,Transient,178.10954593313664,0,4,Check-Out,2023-09-17,31.26292796847124,121.43116518712785
Resort Hotel,0,176,2022,June,10,33,15,1,2,2,0,1,HB,GBR,Online TA,TA/TO,0,0,2,G,F,3,No Deposit,19,,0,Contract,112.7643904748,2,4,Check-Out,2023-11-14,31.296518535089827,121.57478550503541
Resort Hotel,0,202,2022,March,7,14,6,4,5,1,1,0,HB,ITA,Online TA,Direct,0,2,3,A,F,0,No Deposit,16,6,19,Group,313.90949131147215,0,4,Check-Out,2022-12-08,31.130524694629344,121.4147763242594
City Hotel,1,229,2023,August,1,31,8,2,11,2,2,1,HB,ESP,Online TA,Direct,0,1,0,C,D,4,No Deposit,15,,7,Transient,91.39229206911313,1,4,Canceled,2022-02-09,31.19795392998649,121.47232675740266
Resort Hotel,0,242,2023,October,5,41,4,2,11,1,0,0,BB,ESP,Groups,TA/TO,0,0,1,B,E,3,No Deposit,12,,27,Transient,445.6071115664126,0,1,Check-Out,2023-12-01,31.167800232493203,121.42470413473207
City Hotel,0,6,2022,March,7,49,15,0,5,4,0,0,BB,ITA,Online TA,TA/TO,0,0,3,D,C,3,No Deposit,19,,19,Transient,204.44253479223914,1,4,Check-Out,2023-11-11,31.246745741041977,121.5432495190313
Resort Hotel,0,33,2022,December,3,11,10,0,13,4,2,1,FB,FRA,Offline TA,Direct,0,2,1,A,H,4,No Deposit,8,,0,Transient,275.01787152975976,2,2,Check-Out,2023-04-02,31.281263388230123,121.50390033756102
City Hotel,1,212,2023,September,10,22,28,1,9,3,3,0,SC,ITA,Offline TA,TA/TO,1,1,4,A,B,0,No Deposit,8,6,3,Contract,241.59520447548803,2,1,Canceled,2022-07-31,31.195637026338346,121.40336665109845
Resort Hotel,1,68,2022,July,11,9,24,4,0,1,0,1,BB,ESP,Direct,TA/TO,0,2,4,A,A,4,No Deposit,10,,2,Transient,275.6074247214137,2,4,Canceled,2023-12-02,31.119577957613995,121.45332281806115
City Hotel,0,96,2023,October,9,35,1,3,2,1,2,1,BB,ITA,Groups,Direct,0,0,3,G,D,0,No Deposit,7,,14,Transient,273.61645325662846,0,0,Check-Out,2023-11-12,31.20457228167795,121.55545942212288
City Hotel,0,143,2022,July,4,41,21,2,8,4,0,1,FB,FRA,Corporate,TA/TO,0,1,0,B,H,3,No Deposit,10,,20,Transient,60.24623459297192,0,1,Check-Out,2022-05-28,31.198671719438206,121.42946526167778
Resort Hotel,0,219,2022,May,8,15,29,2,8,4,1,0,HB,FRA,Groups,Corporate,0,2,2,H,B,3,No Deposit,15,,14,Transient,335.44909983797027,1,3,Check-Out,2022-04-20,31.179988578580154,121.58850718276999
Resort Hotel,0,256,2022,November,4,28,22,3,6,4,2,1,BB,USA,Offline TA,Corporate,0,2,4,B,G,1,No Deposit,19,,29,Transient,423.9592543442411,2,3,Check-Out,2023-07-13,31.15191023409488,121.50124580709193
Resort Hotel,1,335,2023,July,1,10,13,3,11,1,3,1,SC,PRT,Online TA,TA/TO,0,0,1,A,A,2,No Deposit,4,,15,Transient-Party,125.5187803575461,2,3,Canceled,2022-04-24,31.217326933255162,121.4882842468266
City Hotel,0,216,2023,December,5,18,15,4,12,2,3,1,HB,CHN,Corporate,Direct,0,0,0,B,B,4,Refundable,18,,18,Transient-Party,185.62418005680541,2,0,Check-Out,2023-05-23,31.29068074333981,121.45030112809452
Resort Hotel,1,353,2022,September,8,41,2,1,5,3,0,1,HB,ESP,Corporate,TA/TO,0,0,2,E,A,2,No Deposit,10,,4,Transient,181.09390223341413,1,0,Canceled,2023-03-15,31.2616952083742,121.45857411290082
Resort Hotel,0,30,2023,January,9,45,26,3,3,3,2,0,FB,FRA,Offline TA,Direct,0,0,1,A,H,1,Refundable,14,,10,Transient-Party,465.3831956801792,1,0,Check-Out,2022-09-18,31.117916517625748,121.47379308854626
City Hotel,0,101,2022,August,7,47,2,2,12,3,1,0,BB,ITA,Offline TA,TA/TO,0,2,0,H,B,3,No Deposit,12,10,26,Transient,120.43775333408853,2,2,Check-Out,2022-07-28,31.198795572666953,121.44493410829213
City Hotel,0,241,2023,August,7,4,18,1,0,2,3,0,FB,ITA,Offline TA,Direct,0,1,3,E,H,3,No Deposit,11,,13,Transient-Party,211.62577645794303,2,1,Check-Out,2023-07-25,31.15092298925012,121.50023123978147
Resort Hotel,0,122,2023,November,1,45,28,3,14,2,0,1,SC,DEU,Groups,Direct,0,2,2,G,E,2,Refundable,15,,14,Transient,382.1410990707932,2,4,Check-Out,2022-09-05,31.118824076094555,121.43284220185488
Resort Hotel,1,208,2022,January,1,10,26,3,0,1,3,1,BB,USA,Offline TA,Direct,0,2,1,A,D,4,Non Refund,5,,10,Transient,358.3995104412619,1,1,Canceled,2023-06-08,31.14975829623543,121.40275356116567
